text,created_at,Unique Identifier
The joint statement of former presidential candidates John McCain &amp; Lindsey Graham is wrong - they are sadly weak on immigration. The two...,1/29/2017,4
...Senators should focus their energies on ISIS illegal immigration and border security instead of always looking to start World War III.,1/29/2017,4
Statement Regarding Recent Executive Order Concerning Extreme Vetting: https://t.co/f6JO60I0Ul,1/29/2017,4
I will be interviewed by @TheBrodyFile on @CBNNews tonight at 11pm. Enjoy!,1/29/2017,4
Only 109 people out of 325000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage.....,1/30/2017,4
protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!,1/30/2017,4
There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!,1/30/2017,4
"If the ban were announced with a one week notice the ""bad"" would rush into our country during that week. A lot of bad ""dudes"" out there!",1/30/2017,4
I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.),1/30/2017,4
Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?,1/30/2017,4
The American dream is back. Weƒ??re going to create an environment for small business like we havenƒ??t had in many maƒ?? https://t.co/Bh7SrNEgz1,1/30/2017,4
The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.,1/31/2017,4
Nancy Pelosi and Fake Tears Chuck Schumer held a rally  at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!,1/31/2017,4
When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!,1/31/2017,4
Getting ready to deliver a VERY IMPORTANT DECISION!  8:00 P.M.,2/1/2017,5
Join me live from the @WhiteHouse.https://t.co/LHOs4nAaGl,2/1/2017,5
Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man respected by all.,2/1/2017,5
Everybody is arguing whether or not it is a BAN. Call it what you want it is about keeping bad people (with bad intentions) out of country!,2/1/2017,5
Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!,2/2/2017,5
Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!,2/2/2017,5
If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?,2/2/2017,5
Congratulations to Rex Tillerson on being sworn in as our new Secretary of State. He will be a star!,2/2/2017,5
Attending Chief Ryan Owens' Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!,2/2/2017,5
Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!,2/2/2017,5
Iran was on its last legs and ready to collapse until the U.S. came along and gave it a life-line in the form of the Iran Deal: $150 billion,2/2/2017,5
Thank you @Samsung! We would love to have you! https://t.co/r5nxC9oOA4,2/2/2017,5
Yes Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!,2/3/2017,5
"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!",2/3/2017,5
Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!,2/3/2017,5
Meeting with biggest business leaders this morning. Good jobs are coming back to U.S. health care and tax bills are being crafted NOW!,2/3/2017,5
Professional anarchists thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!,2/3/2017,5
A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.,2/3/2017,5
"We must keep ""evil"" out of our country!",2/3/2017,5
Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!,2/4/2017,6
When a country is no longer able to say who can and who cannot  come in &amp; out especially for reasons of safety &amp;.security - big trouble!,2/4/2017,6
Interesting that certain Middle-Eastern countries agree with the ban. They know if certain people are allowed in it's death &amp; destruction!,2/4/2017,6
The opinion of this so-called judge which essentially takes law-enforcement away from our country is ridiculous and will be overturned!,2/4/2017,6
After being forced to apologize for its bad and inaccurate coverage of me after winning the election the FAKE NEWS @nytimes is still lost!,2/4/2017,6
MAKE AMERICA GREAT AGAIN!,2/4/2017,6
What is our country coming to when a judge can halt a Homeland Security travel ban and anyone even with bad intentions can come into U.S.?,2/4/2017,6
Because the ban was lifted by a judge many very bad and dangerous people may be pouring into our country. A terrible decision,2/4/2017,6
Why aren't the lawyers looking at and using the Federal Court decision in Boston which is at conflict with ridiculous lift ban decision?,2/4/2017,6
Interview with @oreillyfactor on Fox Network - 4:00 P.M. (prior to Super Bowl). Enjoy!,2/5/2017,6
The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!,2/5/2017,6
Just cannot  believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!,2/5/2017,6
I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!,2/5/2017,6
I will be interviewed by @oreillyfactor at 4:00 P.M. (prior to the #SuperBowl Pre-game Show) on Fox Network. Enjoy!,2/5/2017,6
Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!,2/5/2017,6
What an amazing comeback and win by the Patriots. Tom Brady Bob Kraft and Coach B are total winners. Wow!,2/6/2017,6
Any negative polls are fake news just like the CNN ABC NBC polls in the election. Sorry people want border security and extreme vetting.,2/6/2017,6
I call my own shots largely based on an accumulation of data and everyone knows it. Some FAKE NEWS media in order to marginalize lies!,2/6/2017,6
Will be interviewed on @oreillyfactor tonight at 8:00 P.M.,2/6/2017,6
The failing @nytimes writes total fiction concerning me. They have gotten it wrong for two years and now are making up stories &amp; sources!,2/6/2017,6
An extended interview from the Super Bowl with @oreillyfactor airs tonight at 8:00 P.M. Enjoy! https://t.co/kZdHqaNTVR,2/6/2017,6
The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!,2/7/2017,7
The threat from radical Islamic terrorism is very real just look at what is happening in Europe and the Middle-East. Courts must act fast!,2/7/2017,7
I don't know Putin have no deals in Russia and the haters are going crazy - yet Obama can make a deal with Iran #1in terror no problem!,2/7/2017,7
I don't know Putin have no deals in Russia and the haters are going crazy - yet Obama can make a deal with Iran #1 in terror no problem!,2/7/2017,7
An honor having the National Sheriffs' Assoc. join me at the @WhiteHouse. Incredible men &amp; women who protect &amp; servƒ?? https://t.co/1LkhbCNh8L,2/7/2017,7
It is a disgrace that my full Cabinet is still not in place the longest such delay in the history of our country. Obstruction by Democrats!,2/8/2017,7
If the U.S. does not win this case as it so obviously should we can never have the security and safety to which we are entitled. Politics!,2/8/2017,7
I will be speaking at 9:00 A.M. today to Police Chiefs and Sheriffs and will be discussing the horrible dangerous and wrong decision.......,2/8/2017,7
Thank you to our great Police Chiefs &amp; Sheriffs for your leadership &amp; service. You have a true friend in theƒ?? https://t.co/Lysnv8ZR1h,2/8/2017,7
My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!,2/8/2017,7
'16 Fake News Stories Reporters Have Run Since Trump Won' https://t.co/0dHld5kiVc,2/8/2017,7
Big increase in traffic into our country from certain areas while our people are far more vulnerable as we wait for what should be EASY D!,2/8/2017,7
Thank you Brian Krzanich CEO of @Intel. A great investment ($7 BILLION) in American INNOVATION and JOBS!ƒ?? https://t.co/oicfDsPKHQ,2/8/2017,7
'Immigration Ban Is One Of Trump's Most Popular Orders So Far' https://t.co/wAelwuQ4BE,2/8/2017,7
'Majority in Leading EU Nations Support Trump-Style Travel Ban' Poll of more than 10000 people in 10 countries...https://t.co/KWsIWhtC9o,2/8/2017,7
'Trump administration seen as more truthful than news media'https://t.co/6LmsR5JOSW,2/8/2017,7
Congratulations to our new Attorney General @SenatorSessions! https://t.co/e0buP1K83z,2/9/2017,7
Sen.Richard Blumenthal who never fought in Vietnam when he said for years he had (major lie)now misrepresents what Judge Gorsuch told him?,2/9/2017,7
"Chris Cuomo in his interview with Sen. Blumenthal never asked him about his long-term lie about his brave ""service"" in Vietnam. FAKE NEWS!",2/9/2017,7
Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so....,2/9/2017,7
...long he doesn't know how to win anymore just look at the mess our country is in - bogged down in conflict all over the place. Our hero..,2/9/2017,7
"..Ryan died on a winning mission ( according to General Mattis) not a ""failure."" Time for the U.S. to get smart and start winning again!",2/9/2017,7
Join us live in the Oval Office for the swearing in of our new Attorney General @SenatorSessions!LIVE:ƒ?? https://t.co/QeW6vjog4A,2/9/2017,7
SEE YOU IN COURT THE SECURITY OF OUR NATION IS AT STAKE!,2/9/2017,7
"LAWFARE: ""Remarkably in the entire opinion the panel did not bother even to cite this (the) statute."" A disgraceful decision!",2/10/2017,8
"The failing @nytimes does major FAKE NEWS China story saying ""Mr.Xi has not spoken to Mr. Trump since Nov.14."" We spoke at length yesterday!",2/10/2017,8
Heading to Joint Base Andrews on #MarineOne with Prime Minister Shinz earlier today. https://t.co/4JFhyYdeHO,2/10/2017,8
"Our legal system is broken! ""77% of refugees allowed into U.S. since travel reprieve hail from seven suspect countries."" (WT)  SO DANGEROUS!",2/11/2017,8
I am reading that the great border WALL will cost more than the government originally thought but I have not gotten involved in the.....,2/11/2017,8
...design or negotiations yet. When I do just like with the F-35 FighterJet or the Air Force One Program price will come WAY DOWN!,2/11/2017,8
Melania and I are hosting Japanese Prime Minister Shinzo Abe and Mrs. Abe at Mar-a-Lago in Palm Beach Fla. They are a wonderful couple!,2/11/2017,8
Having a great time hosting Prime Minister Shinzo Abe in the United States! https://t.co/Fvjsac89qSƒ?? https://t.co/hKqbMB2aQ9,2/11/2017,8
I am so proud of my daughter Ivanka. To be abused and treated so badly by the media and to still hold her head so high is truly wonderful!,2/11/2017,8
Playef golf today with Prime Minister Abe of Japan and @TheBig_Easy Ernie Els and had a great time. Japan is very well represented!,2/11/2017,8
Played golf today with Prime Minister Abe of Japan and @TheBig_Easy Ernie Els and had a great time. Japan is very well represented!,2/11/2017,8
A working dinner tonight with Prime Minister Abe of Japan and his representatives at the Winter White House (Mar-a-Lago). Very good talks!,2/11/2017,8
RT @Scavino45: LIVE Joint Statement by President Trump and Prime Minister Shinzo Abe: https://t.co/c3Fe5cUaaS,2/12/2017,8
#ICYMI: Joint Statement with Prime Minister Shinzo Abe on North Korea. https://t.co/qEC87FKB1D,2/12/2017,8
The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members drug dealers &amp; others are being removed!,2/12/2017,8
72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA IRAQ SOMALIA IRAN SUDAN LIBYA &amp; YEMEN,2/12/2017,8
While on FAKE NEWS @CNN Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!,2/12/2017,8
After two days of very productive talks Prime Minister Abe is heading back to Japan. L,2/12/2017,8
I know Mark Cuban well. He backed me big-time but I wasn't interested in taking all of his calls.He's not smart enough to run for president!,2/12/2017,8
Congratulations Stephen Miller- on representing me this morning on the various Sunday morning shows. Great job!,2/12/2017,8
Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!,2/12/2017,8
Today I will meet with Canadian PM Trudeau and a group of leading business women to discuss women in the workforce. https://t.co/bFAHPRXHdP,2/13/2017,9
Welcome to the @WhiteHouse Prime Minister @JustinTrudeau! https://t.co/WKgF8Zo9ri,2/13/2017,9
